eps_min,eps_max,teps_min,teps_max,x_min,x_max,score_min,score_max,alpha_
-3.7504892349243164,3.554851770401001,-3.7504889965057373,3.5548527240753174,-3.738708257675171,3.532672643661499,-1.8591086864471436,1.4127200841903687,0.0001
-3.7506256103515625,3.5547571182250977,-3.750626802444458,3.5547571182250977,-3.7385733127593994,3.532435655593872,-0.28218206763267517,0.4342136085033417,0.0002
-3.750640869140625,3.554720640182495,-3.750640630722046,3.554720878601074,-3.738436698913574,3.532196521759033,-0.05644800513982773,0.09999363869428635,0.00030000000000000003
-3.7508559226989746,3.554666519165039,-3.7508559226989746,3.55466628074646,-3.7382962703704834,3.5319554805755615,-0.12354283034801483,0.1329968273639679,0.0004
-3.7508654594421387,3.5546631813049316,-3.7508656978607178,3.5546653270721436,-3.738154888153076,3.531712532043457,-0.2259051501750946,0.21279357373714447,0.0005
-3.750796318054199,3.554398775100708,-3.750795841217041,3.554399251937866,-3.7380125522613525,3.5314698219299316,-0.11007408797740936,0.10361535847187042,0.0006000000000000001
-3.7507803440093994,3.553983688354492,-3.7507786750793457,3.5539913177490234,-3.7378687858581543,3.53122878074646,-1.2556205987930298,2.1162168979644775,0.0007000000000000001
-3.7508349418640137,3.553706645965576,-3.7508344650268555,3.5537071228027344,-3.7377231121063232,3.5309884548187256,-0.11715549975633621,0.08905154466629028,0.0008
-3.750755548477173,3.553313732147217,-3.7507553100585938,3.553313732147217,-3.737576723098755,3.530750036239624,-0.04602058231830597,0.0488014817237854,0.0009
-3.7507240772247314,3.5531089305877686,-3.7507243156433105,3.5531086921691895,-3.737429141998291,3.530510902404785,-0.07348781824111938,0.05359255522489548,0.001
-3.7507388591766357,3.553032875061035,-3.7507383823394775,3.553032875061035,-3.7372794151306152,3.530270576477051,-0.02171292155981064,0.019508104771375656,0.0011
-3.7507224082946777,3.552910804748535,-3.750723123550415,3.5529086589813232,-3.737128734588623,3.530029296875,-0.11483152210712433,0.0680922269821167,0.0012000000000000001
-3.750671148300171,3.552757501602173,-3.750674247741699,3.552757501602173,-3.7369766235351562,3.529787063598633,-0.06643489748239517,0.05969539284706116,0.0013
-3.750826597213745,3.552475929260254,-3.7508273124694824,3.5524702072143555,-3.7368216514587402,3.529545545578003,-0.025963643565773964,0.036027152091264725,0.0014000000000000002
-3.7507991790771484,3.5523290634155273,-3.750800132751465,3.5523290634155273,-3.7366654872894287,3.5293030738830566,-0.042593542486429214,0.08061390370130539,0.0015
-3.751006603240967,3.552111864089966,-3.7510061264038086,3.5521140098571777,-3.7365055084228516,3.5290603637695312,-0.03844801336526871,0.07263034582138062,0.0016
-3.7510569095611572,3.5520174503326416,-3.7510645389556885,3.5520169734954834,-3.7363433837890625,3.5288164615631104,-0.023197943344712257,0.027803227305412292,0.0017000000000000001
-3.7511229515075684,3.551640510559082,-3.7511465549468994,3.5516409873962402,-3.7361788749694824,3.528573989868164,-0.3305918574333191,0.3477165699005127,0.0018
-3.751224994659424,3.551450490951538,-3.751230001449585,3.551452159881592,-3.7360117435455322,3.5283312797546387,-0.01625378616154194,0.020587513223290443,0.0019000000000000002
-3.7513062953948975,3.5513951778411865,-3.7513060569763184,3.551396608352661,-3.735842227935791,3.5280866622924805,-0.019653789699077606,0.014218837022781372,0.002
-3.7513599395751953,3.5511560440063477,-3.7513608932495117,3.5511701107025146,-3.735670328140259,3.527841806411743,-0.1129772886633873,0.1647154837846756,0.0021000000000000003
-3.751325845718384,3.5509581565856934,-3.751326084136963,3.5509603023529053,-3.735497236251831,3.527596950531006,-0.03537606820464134,0.02398865297436714,0.0022
-3.751472234725952,3.550703763961792,-3.751471996307373,3.550701379776001,-3.735321044921875,3.5273523330688477,-0.016729209572076797,0.017491912469267845,0.0023000000000000004
-3.751598358154297,3.5504887104034424,-3.7515969276428223,3.5504934787750244,-3.7351415157318115,3.5271074771881104,-0.09407073259353638,0.1284870058298111,0.0024000000000000002
-3.7516164779663086,3.5503735542297363,-3.751608371734619,3.5503742694854736,-3.7349603176116943,3.5268616676330566,-0.018621886149048805,0.03107241913676262,0.0025
-3.751699447631836,3.5500333309173584,-3.751699447631836,3.5500311851501465,-3.734776020050049,3.526616096496582,-0.08120443671941757,0.0536835640668869,0.0026
-3.7515995502471924,3.549856662750244,-3.7515947818756104,3.549851417541504,-3.734591245651245,3.5263705253601074,-1.1536681652069092,1.3177019357681274,0.0027
-3.751570224761963,3.5495548248291016,-3.751570463180542,3.5495498180389404,-3.7344048023223877,3.52612566947937,-0.03543853387236595,0.043061770498752594,0.0028000000000000004
-3.7515006065368652,3.549250602722168,-3.7515017986297607,3.549255132675171,-3.7342169284820557,3.52588152885437,-0.057105422019958496,0.04682288318872452,0.0029000000000000002
-3.751690149307251,3.549072265625,-3.7516958713531494,3.549064874649048,-3.734025716781616,3.525636672973633,-0.038290247321128845,0.0343225933611393,0.003
-3.751776933670044,3.5486984252929688,-3.7517752647399902,3.5486977100372314,-3.7338316440582275,3.525392770767212,-0.005866523366421461,0.005217100493609905,0.0031
-3.7518093585968018,3.5485079288482666,-3.7517106533050537,3.5486159324645996,-3.7336363792419434,3.5251474380493164,-14.626840591430664,15.834927558898926,0.0032
-3.751866340637207,3.5483176708221436,-3.7518744468688965,3.548307418823242,-3.7334375381469727,3.524902820587158,-0.11043330281972885,0.08541936427354813,0.0033000000000000004
-3.7519330978393555,3.5480434894561768,-3.7519352436065674,3.548029899597168,-3.733236312866211,3.524658441543579,-0.026132242754101753,0.03847623988986015,0.0034000000000000002
-3.7519776821136475,3.547757387161255,-3.7519805431365967,3.5477511882781982,-3.7330322265625,3.524414539337158,-0.012451941147446632,0.01090558897703886,0.0035
-3.752044200897217,3.5475172996520996,-3.7520463466644287,3.5475096702575684,-3.732825756072998,3.5241706371307373,-0.031034348532557487,0.03778701648116112,0.0036
-3.7519407272338867,3.547163724899292,-3.751941204071045,3.547170639038086,-3.7326183319091797,3.523927688598633,-0.02750259079039097,0.02454608865082264,0.0037
-3.7519633769989014,3.546994686126709,-3.751969575881958,3.546994924545288,-3.732408285140991,3.523684024810791,-0.025936024263501167,0.030332617461681366,0.0038000000000000004
-3.7520134449005127,3.546907663345337,-3.7520134449005127,3.5469088554382324,-3.7321958541870117,3.5234389305114746,-0.013474083505570889,0.012299838475883007,0.0039000000000000003
-3.7520835399627686,3.5466344356536865,-3.7520978450775146,3.546632766723633,-3.731980562210083,3.5231940746307373,-0.01918630115687847,0.015964990481734276,0.004
-3.752157211303711,3.546330451965332,-3.7521586418151855,3.546327590942383,-3.731762170791626,3.522949695587158,-0.03114619292318821,0.02177419513463974,0.0041
-3.752197027206421,3.545976400375366,-3.7521920204162598,3.5459771156311035,-3.731541395187378,3.5227060317993164,-0.037280451506376266,0.031437281519174576,0.004200000000000001
-3.752277374267578,3.545598030090332,-3.7522754669189453,3.545600652694702,-3.7313175201416016,3.52246356010437,-0.050892025232315063,0.0633818730711937,0.0043
-3.7523560523986816,3.5452027320861816,-3.7523562908172607,3.54520320892334,-3.731091260910034,3.5222229957580566,-0.0463598407804966,0.05470286309719086,0.0044
-3.752364158630371,3.54490065574646,-3.752364158630371,3.5448994636535645,-3.7308623790740967,3.5219826698303223,-0.0033724098466336727,0.003615233115851879,0.0045
-3.752411365509033,3.5447487831115723,-3.752399444580078,3.5447399616241455,-3.730630874633789,3.5217416286468506,-0.0895887166261673,0.09307792037725449,0.004600000000000001
-3.75242280960083,3.5444936752319336,-3.7524232864379883,3.544492244720459,-3.7303965091705322,3.5215001106262207,-0.036598268896341324,0.03413853794336319,0.0047
-3.752472400665283,3.5443484783172607,-3.7524704933166504,3.544344663619995,-3.7301595211029053,3.5212578773498535,-0.018724512308835983,0.01926880143582821,0.0048000000000000004
-3.7522733211517334,3.5439319610595703,-3.752269983291626,3.543926477432251,-3.7299225330352783,3.521017074584961,-0.021156013011932373,0.014519006945192814,0.004900000000000001
-3.752375841140747,3.5435664653778076,-3.7523815631866455,3.543565034866333,-3.729682207107544,3.520777463912964,-0.012200809083878994,0.014535228721797466,0.005
-3.7525322437286377,3.5431904792785645,-3.752534866333008,3.54318904876709,-3.729437828063965,3.5205392837524414,-0.03533799946308136,0.024102021008729935,0.0051
-3.752746820449829,3.5427279472351074,-3.752746105194092,3.542729616165161,-3.72918963432312,3.5203027725219727,-0.033990565687417984,0.02669268660247326,0.0052
-3.752809524536133,3.5424423217773438,-3.7528133392333984,3.5424447059631348,-3.728937864303589,3.520066261291504,-0.030800307169556618,0.031337883323431015,0.005300000000000001
