0, 0.000000, 0.000139, 0.000000, 0.000000, 0.000002, 0.000004
0, 0.000000, 0.029560, 0.000000, 0.000000, 0.000468, 0.000584
0, 0.000000, 0.029569, 0.000000, 0.000000, 0.000468, 0.000584
0, 0.000000, 0.030388, 0.000000, 0.000000, 0.000512, 0.000665
0, 0.000000, 0.030357, 0.000000, 0.000000, 0.000512, 0.000666
0, 0.000000, 0.031202, 0.000000, 0.000000, 0.000528, 0.000684
0, 0.000000, 0.031236, 0.000000, 0.000000, 0.000529, 0.000684
0, 0.000000, 0.034631, 0.000000, 0.000000, 0.000691, 0.000935
0, 0.000000, 0.034645, 0.000000, 0.000000, 0.000691, 0.000936
0, 0.000000, 0.035629, 0.000000, 0.000000, 0.000715, 0.000962
0, 0.000000, 0.035633, 0.000000, 0.000000, 0.000715, 0.000963
0, 0.000000, 0.036658, 0.000000, 0.000000, 0.000728, 0.000973
0, 0.000000, 0.036634, 0.000000, 0.000000, 0.000727, 0.000974
0, 0.000000, 0.036869, 0.000000, 0.000000, 0.000736, 0.000996
0, 0.000000, 0.036837, 0.000000, 0.000000, 0.000736, 0.000997
0, 0.000000, 0.037238, 0.000000, 0.000000, 0.000742, 0.001002
0, 0.000000, 0.037267, 0.000000, 0.000000, 0.000742, 0.001002
0, 0.000000, 0.037170, 0.000000, 0.000000, 0.000757, 0.001054
0, 0.000000, 0.037161, 0.000000, 0.000000, 0.000757, 0.001054
0, 0.000000, 0.149804, 0.000000, 0.000000, 0.003554, 0.005374
0, 0.000000, 0.149808, 0.000000, 0.000000, 0.003554, 0.005374
0, 0.000000, 0.152208, 0.000000, 0.000000, 0.003590, 0.005411
0, 0.000000, 0.152211, 0.000000, 0.000000, 0.003590, 0.005411
0, 0.000000, 8.016344, 0.000000, 0.000000, 0.181193, 0.261228
0, 0.000000, 8.016341, 0.000000, 0.000000, 0.181193, 0.261228
0, 0.000000, 8.015979, 0.000000, 0.000000, 0.181192, 0.261231
0, 0.000000, 8.015965, 0.000000, 0.000000, 0.181192, 0.261231
0, 0.000000, 8.015370, 0.000000, 0.000000, 0.181184, 0.261233
0, 0.000000, 8.015333, 0.000000, 0.000000, 0.181183, 0.261233
0, 0.000000, 8.012446, 0.000000, 0.000000, 0.181138, 0.261230
0, 0.000000, 8.012410, 0.000000, 0.000000, 0.181137, 0.261230
0, 0.000000, 8.014010, 0.000000, 0.000000, 0.181158, 0.261228
1, 0.000000, 0.000331, 0.000000, 0.000000, 0.000006, 0.000016
1, 0.000000, 0.016283, 0.000005, 0.000002, 0.000368, 0.000410
1, 0.000000, 0.016301, 0.000005, 0.000002, 0.000369, 0.000410
1, 0.000000, 0.017158, 0.000005, 0.000002, 0.000389, 0.000436
1, 0.000000, 0.017164, 0.000005, 0.000002, 0.000389, 0.000436
1, 0.000000, 0.017543, 0.000006, 0.000004, 0.000414, 0.000546
1, 0.000000, 0.017558, 0.000006, 0.000004, 0.000414, 0.000547
1, 0.000000, 0.019960, 0.000006, 0.000005, 0.000468, 0.000630
1, 0.000000, 0.019930, 0.000006, 0.000005, 0.000467, 0.000630
1, 0.000000, 0.019874, 0.000007, 0.000005, 0.000468, 0.000636
1, 0.000000, 0.019873, 0.000007, 0.000005, 0.000468, 0.000637
1, 0.000000, 0.021036, 0.000007, 0.000005, 0.000500, 0.000676
1, 0.000000, 0.021021, 0.000007, 0.000005, 0.000500, 0.000677
1, 0.000000, 0.021321, 0.000007, 0.000005, 0.000508, 0.000686
1, 0.000000, 0.021319, 0.000007, 0.000005, 0.000508, 0.000686
1, 0.000000, 0.023146, 0.000008, 0.000005, 0.000546, 0.000728
1, 0.000000, 0.023136, 0.000008, 0.000005, 0.000545, 0.000728
1, 0.000000, 0.024176, 0.000008, 0.000005, 0.000575, 0.000809
1, 0.000000, 0.024176, 0.000008, 0.000005, 0.000575, 0.000810
1, 0.000000, 0.027033, 0.000009, 0.000006, 0.000626, 0.000888
1, 0.000000, 0.027045, 0.000009, 0.000006, 0.000626, 0.000888
1, 0.000000, 0.027474, 0.000009, 0.000006, 0.000636, 0.000912
1, 0.000000, 0.027494, 0.000009, 0.000006, 0.000637, 0.000912
1, 0.000000, 0.029806, 0.000009, 0.000006, 0.000675, 0.000949
1, 0.000000, 0.029840, 0.000009, 0.000006, 0.000675, 0.000949
1, 0.000000, 0.030534, 0.000010, 0.000007, 0.000695, 0.000994
1, 0.000000, 0.030528, 0.000010, 0.000007, 0.000695, 0.000994
1, 0.000000, 0.031155, 0.000010, 0.000007, 0.000723, 0.001035
1, 0.000000, 0.031148, 0.000010, 0.000007, 0.000723, 0.001036
1, 0.000000, 0.033271, 0.000011, 0.000008, 0.000767, 0.001073
1, 0.000000, 0.033283, 0.000011, 0.000008, 0.000767, 0.001073
1, 0.000000, 0.034302, 0.000011, 0.000008, 0.000826, 0.001171
2, 0.000000, 0.000292, 0.000000, 0.000000, 0.000006, 0.000013
2, 0.000000, 0.003607, 0.000002, 0.000002, 0.000081, 0.000142
2, 0.000000, 0.003633, 0.000002, 0.000002, 0.000082, 0.000143
2, 0.000000, 0.005576, 0.000003, 0.000003, 0.000135, 0.000244
2, 0.000000, 0.005544, 0.000003, 0.000003, 0.000134, 0.000245
2, 0.000000, 0.010387, 0.000007, 0.000006, 0.000252, 0.000395
2, 0.000000, 0.010405, 0.000007, 0.000006, 0.000253, 0.000395
2, 0.000000, 0.015475, 0.000009, 0.000007, 0.000361, 0.000526
2, 0.000000, 0.015453, 0.000009, 0.000007, 0.000360, 0.000526
